ticker,entry_date,entry_price,sl_price,tp_price,exit_date,exit_price,target_pct,sl_pct,outcome,pnl_pct
TEJASNET,2026-05-18,441.65,428.62,554.95,2026-06-03,554.95,25.65,2.95,WIN,25.65
TEJASNET,2026-09-15,518.27,503.55,622.8,2026-09-16,503.55,20.17,2.84,LOSS,-2.84
DATAMATICS,2021-03-18,116.55,113.4,135.5,2021-03-19,113.4,16.26,2.7,LOSS,-2.7
DATAMATICS,2021-10-19,315.34,302.0,382.4,2021-10-26,302.0,21.27,4.23,LOSS,-4.23
DATAMATICS,2022-06-10,310.12,295.4,351.0,2022-06-13,295.4,13.18,4.75,LOSS,-4.75
DATAMATICS,2022-09-26,314.34,300.2,363.8,2022-09-29,300.2,15.74,4.5,LOSS,-4.5
DATAMATICS,2023-07-17,574.41,554.0,678.7,2023-07-18,554.0,18.16,3.55,LOSS,-3.55
DATAMATICS,2023-11-02,616.56,609.74,699.9,2023-11-03,609.74,13.52,1.11,LOSS,-1.11
DATAMATICS,2025-03-11,575.91,549.0,642.0,2025-03-24,642.0,11.48,4.67,WIN,11.48
DATAMATICS,2025-11-21,858.25,838.05,1010.0,2025-11-27,838.05,17.68,2.35,LOSS,-2.35
DATAMATICS,2026-03-04,705.55,676.55,788.85,2026-03-09,676.55,11.81,4.11,LOSS,-4.11
DATAMATICS,2026-05-12,747.35,722.65,831.3,2026-05-18,722.65,11.23,3.31,LOSS,-3.31
RAMCOIND,2021-08-11,279.88,270.5,345.0,,,23.27,3.35,OPEN,0.0
RAMCOIND,2021-09-21,290.09,282.3,327.5,2021-09-23,327.5,12.9,2.68,WIN,12.9
RAMCOIND,2022-05-06,209.71,203.0,246.85,2022-05-09,203.0,17.71,3.2,LOSS,-3.2
RAMCOIND,2024-02-27,220.49,212.45,248.8,2024-03-06,212.45,12.84,3.65,LOSS,-3.65
RAMCOIND,2024-06-04,223.26,214.8,253.7,2024-06-05,214.8,13.63,3.79,LOSS,-3.79
RAMCOIND,2024-12-13,283.69,272.8,324.35,2024-12-26,272.8,14.33,3.84,LOSS,-3.84
RAMCOIND,2026-05-14,274.02,264.05,303.1,2026-05-18,264.05,10.61,3.64,LOSS,-3.64
21STCENMGM,2021-04-20,11.91,11.6,13.5,2021-05-14,13.5,13.33,2.62,WIN,13.33
21STCENMGM,2021-12-22,49.84,49.35,61.05,2021-12-23,49.35,22.5,0.98,LOSS,-0.98
MANINFRA,2021-04-19,36.43,35.55,46.75,2021-04-22,35.55,28.35,2.4,LOSS,-2.4
MANINFRA,2021-08-13,66.65,64.2,73.7,2021-08-20,64.2,10.58,3.68,LOSS,-3.68
MANINFRA,2021-11-17,115.06,111.52,133.9,2021-11-18,111.52,16.37,3.08,LOSS,-3.08
MANINFRA,2022-04-25,103.66,100.5,119.9,2022-05-02,100.5,15.66,3.05,LOSS,-3.05
MANINFRA,2023-09-12,141.77,135.85,157.15,2023-09-27,157.15,10.84,4.18,WIN,10.84
MANINFRA,2024-07-23,187.26,184.14,208.61,2024-07-25,208.61,11.4,1.67,WIN,11.4
MANINFRA,2025-01-06,238.78,231.0,262.8,2025-01-13,231.0,10.06,3.26,LOSS,-3.26
MANINFRA,2025-04-07,141.85,135.1,163.17,2025-04-21,163.17,15.03,4.76,WIN,15.03
MANINFRA,2025-08-13,161.9,157.0,188.99,2025-08-14,157.0,16.73,3.03,LOSS,-3.03
CYBERTECH,2021-04-12,125.1,123.55,143.0,2021-04-13,123.55,14.31,1.24,LOSS,-1.24
CYBERTECH,2022-04-19,166.0,163.94,184.6,2022-04-25,163.94,11.2,1.24,LOSS,-1.24
CYBERTECH,2023-06-23,139.6,133.1,163.5,2023-06-26,133.1,17.12,4.66,LOSS,-4.66
CYBERTECH,2025-01-13,198.12,193.54,238.0,2025-01-14,193.54,20.13,2.31,LOSS,-2.31
CYBERTECH,2025-06-20,156.62,152.11,187.88,2025-07-29,152.11,19.96,2.88,LOSS,-2.88
